Year,DutyPercent,DutyGrowth,ForeignerPercent,ForeignBornGrowth,Urban Rate,UrbanRateGrowth,Birth Rate
1821,43.21,-18.47,0.9075339328,38.57948255,7.36,2.173913043,50.14457635
1822,35.23,24.01,1.257655828,27.8392457,7.52,2.127659574,49.79212656
1823,43.69,8.47,1.607777724,21.77675992,7.68,2.083333333,49.43967676
1824,47.39,0.7,1.957899619,17.88252537,7.84,2.040816327,49.08722697
1825,47.72,-5.11,2.308021515,15.16978471,8,2,48.73477718
1826,45.28,12.48,2.65814341,13.17167067,8.16,1.960784314,48.38232738
1827,50.93,-12.15,3.008265306,11.63866413,8.32,1.923076923,48.02987759
1828,44.74,13.39,3.358387201,10.42529866,8.48,1.886792453,47.6774278
1829,50.73,12.99,3.708509097,9.441041827,8.64,1.851851852,47.32497801
1830,57.32,-22.84,4.058630992,8.626600834,8.8,2.272727273,46.97252821
1831,44.23,-11.89,4.408752887,7.941517816,9,2.222222222,46.19849533
1832,38.97,-25.61,4.758874783,7.357241175,9.2,2.173913043,45.42446245
1833,28.99,-24.7,5.108996678,6.853046069,9.4,2.127659574,44.65042957
1834,21.83,-2.66,5.459118574,6.413524276,9.6,2.083333333,43.87639669
1835,21.25,-8.19,5.809240469,6.02698232,9.8,2.040816327,43.10236382
1836,19.51,-17.73,6.159362365,5.6843854,10,2,42.32833094
1837,16.05,43.99,6.50948426,5.378642639,10.2,1.960784314,41.55429806
1838,23.11,-23.97,6.859606156,5.104110747,10.4,1.923076923,40.78026518
1839,17.57,0.17,7.209728051,4.856242753,10.6,1.886792453,40.0062323
1840,17.6,-1.31,7.559849947,4.631333921,10.8,4.166666667,39.23219942
1841,17.37,9.15,7.909971842,4.426335555,11.25,4,38.45816654
1842,18.96,6.17,8.260093738,4.238715759,11.7,3.846153846,37.68413366
1843,20.13,51.52,8.610215633,4.066354548,12.15,3.703703704,36.91010078
1844,30.5,-3.8,8.960337528,3.90746325,12.6,3.571428571,36.1360679
1845,29.34,-5.59,9.310459424,3.760522215,13.05,3.448275862,35.36203502
1846,27.7,-12.64,9.660581319,3.624232119,13.5,3.333333333,34.58800214
1847,24.2,-2.93,10.01070321,3.497475578,13.95,3.225806452,33.81396926
1848,23.49,-0.34,10.36082511,3.37928588,14.4,3.125,33.03993638
1849,23.41,4.66,10.71094701,3.268822912,14.85,3.03030303,32.2659035
1850,24.5,-0.98,11.0610689,1.892624952,15.3,2.941176471,31.49187062
1851,24.26,0.37,11.27041345,1.857469923,15.75,2.857142857,31.31224996
1852,24.35,-4.02,11.47975799,1.823597241,16.2,2.777777778,31.13262929
1853,23.37,0.64,11.68910254,1.790937664,16.65,2.702702703,30.95300863
1854,23.52,-0.68,11.89844708,1.7594275,17.1,2.631578947,30.77338796
1855,23.36,-7.19,12.10779163,1.729006795,17.55,2.564102564,30.5937673
1856,21.68,-11.95,12.31713617,1.699620327,18,2.5,30.41414664
1857,19.09,-9.22,12.52648072,1.67121592,18.45,2.43902439,30.23452597
1858,17.33,-10.96,12.73582526,1.643745464,18.9,2.380952381,30.05490531
1859,15.43,1.56,12.94516981,1.61716335,19.35,2.325581395,29.87528464
1860,15.67,-9.32,13.15451435,0.9760376717,19.8,2.97979798,29.69566398
1861,14.21,83.53,13.28290737,0.9666032597,20.39,2.893575282,29.58014709
1862,26.08,8.44,13.41130038,0.9573494884,20.98,2.812202097,29.46463021
1863,28.28,13.3,13.5396934,0.9482712194,21.57,2.735280482,29.34911333
1864,32.04,20.04,13.66808641,0.9393635049,22.16,2.662454874,29.23359644
1865,38.46,8.71,13.79647943,0.9306215854,22.75,2.593406593,29.11807956
1866,41.81,6.58,13.92487245,0.922040874,23.34,2.527849186,29.00256267
1867,44.56,4.49,14.05326546,0.9136169523,23.93,2.465524446,28.88704579
1868,46.56,-3.87,14.18165848,0.9053455617,24.52,2.406199021,28.7715289
1869,44.76,0.29,14.31005149,0.8972226115,25.11,2.349661489,28.65601202
1870,44.89,-9.76,14.43844451,-0.7757387572,25.7,0.9727626459,28.54049514
1871,40.51,-6.22,14.3264399,-0.7818035798,25.95,0.9633911368,28.57341853
1872,37.99,-26.56,14.21443528,-0.7879638395,26.2,0.9541984733,28.60634192
1873,27.9,1.4,14.10243067,-0.7942220219,26.45,0.9451795841,28.63926531
1874,28.29,3.78,13.99042606,-0.8005804078,26.7,0.936329588,28.67218871
1875,29.36,6.44,13.87842145,-0.8070414233,26.95,0.9276437848,28.7051121
1876,31.25,-6.56,13.76641684,-0.8136075734,27.2,0.9191176471,28.73803549
1877,29.2,-0.68,13.65441223,-0.8202815186,27.45,0.9107468124,28.77095888
1878,29,3.45,13.54240761,-0.8270657126,27.7,0.9025270758,28.80388228
1879,30,-2.93,13.430403,-0.8339631357,27.95,0.8944543828,28.83680567
1880,29.12,2.3,13.31839839,0.1450590336,28.2,2.446808511,28.86972906
